,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
120,Steve Cook,Bournemouth,38.0,3420.0,2,0,6.49,6.17,0.04,0.01,0.06
121,Dan Gosling,Bournemouth,27.0,1336.0,2,0,5.84,4.33,0.1,0.05,0.15
122,Marc Pugh,Bournemouth,21.0,1345.0,2,2,4.17,2.35,0.11,0.13,0.23
123,Laurent Koscielny,Arsenal,33.0,2828.0,2,0,7.75,7.71,0.04,0.01,0.05
124,Danny Welbeck,Arsenal,16.0,743.0,2,2,4.5,0.68,0.42,0.14,0.56
125,Calum Chambers,"Arsenal, Middlesbrough",25.0,2250.0,2,1,3.61,3.13,0.03,0.02,0.06
126,Connor Wickham,Crystal Palace,8.0,406.0,2,0,1.27,0.35,0.24,0.0,0.24
127,Winston Reid,West Ham,30.0,2595.0,2,2,3.42,3.28,0.03,0.03,0.06
128,Dimitri Payet,West Ham,18.0,1520.0,2,6,6.66,2.99,0.19,0.35,0.54
129,José Holebas,Watford,33.0,2917.0,2,4,5.53,4.06,0.03,0.09,0.12
130,Leighton Baines,Everton,32.0,2827.0,2,3,12.14,10.55,0.09,0.09,0.17
131,Gareth Barry,Everton,33.0,2109.0,2,1,7.23,6.29,0.04,0.06,0.09
132,Dejan Lovren,Liverpool,29.0,2559.0,2,1,7.75,7.7,0.04,0.02,0.06
133,Fernandinho,Manchester City,32.0,2752.0,2,1,16.82,13.91,0.11,0.08,0.19
134,Wilfried Bony,Stoke,10.0,702.0,2,0,3.35,0.92,0.32,0.11,0.42
135,Danny Rose,Tottenham,18.0,1538.0,2,2,4.8,3.44,0.05,0.08,0.13
136,Eric Dier,Tottenham,36.0,3045.0,2,0,10.8,10.07,0.05,0.02,0.07
137,James Collins,West Ham,22.0,1649.0,2,0,1.33,1.15,0.06,0.01,0.07
138,Younes Kaboul,"Sunderland, Watford",23.0,1919.0,2,0,0.76,0.65,0.07,0.0,0.07
139,Fabio Borini,Sunderland,24.0,1739.0,2,0,3.14,1.01,0.11,0.03,0.14
140,Robert Huth,Leicester,33.0,2932.0,2,2,3.8,2.95,0.06,0.05,0.11
141,Christian Fuchs,Leicester,36.0,3108.0,2,4,6.17,4.74,0.04,0.1,0.14
142,Marc Albrighton,Leicester,33.0,2449.0,2,6,6.4,2.81,0.05,0.17,0.22
143,Daryl Janmaat,Watford,27.0,1620.0,2,1,3.84,2.39,0.08,0.09,0.17
144,Martin Olsson,Swansea,15.0,1252.0,2,0,3.12,2.29,0.05,0.03,0.08
145,Jonny Evans,West Bromwich Albion,31.0,2635.0,2,1,3.06,3.04,0.06,0.01,0.07
146,Darren Fletcher,West Bromwich Albion,38.0,3242.0,2,3,6.9,4.34,0.05,0.05,0.1
147,Ryan Bertrand,Southampton,28.0,2509.0,2,4,8.27,6.51,0.02,0.1,0.12
148,Gastón Ramírez,Middlesbrough,24.0,1561.0,2,3,7.36,3.59,0.18,0.17,0.35
149,Santiago Cazorla,Arsenal,8.0,621.0,2,2,3.28,2.77,0.24,0.12,0.36
150,Alex Oxlade-Chamberlain,Arsenal,29.0,1564.0,2,7,10.3,5.44,0.14,0.26,0.4
151,Tom Davies,Everton,24.0,1540.0,2,3,6.8,3.66,0.08,0.11,0.2
152,M'Baye Niang,Watford,16.0,1278.0,2,2,3.64,1.71,0.09,0.13,0.22
153,Andrea Ranocchia,Hull,16.0,1330.0,2,2,2.5,1.84,0.06,0.04,0.1
154,Michael Keane,Burnley,35.0,3150.0,2,1,1.36,1.16,0.04,0.03,0.07
155,George Boyd,Burnley,36.0,2866.0,2,1,4.61,1.89,0.05,0.07,0.11
156,Ahmed Musa,Leicester,21.0,733.0,2,0,3.77,1.52,0.17,0.15,0.32
157,Harry Maguire,Hull,29.0,2311.0,2,2,5.05,4.07,0.08,0.03,0.11
158,Adama Diomande,Hull,22.0,1149.0,2,0,3.56,0.95,0.2,0.05,0.25
159,Shkodran Mustafi,Arsenal,26.0,2274.0,2,2,8.3,8.04,0.04,0.04,0.08
160,Roberto Pereyra,Watford,13.0,1044.0,2,2,4.25,2.07,0.12,0.15,0.27
161,Christian Kabasele,Watford,16.0,767.0,2,0,0.33,0.2,0.2,0.01,0.21
162,Vincent Janssen,Tottenham,27.0,815.0,2,2,3.79,0.9,0.49,0.14,0.63
163,Jeff Hendrick,Burnley,32.0,2698.0,2,1,2.78,1.84,0.04,0.02,0.07
164,Lazar Markovic,Hull,12.0,1024.0,2,0,3.6,1.06,0.2,0.04,0.23
165,Wilfred Ndidi,Leicester,17.0,1523.0,2,1,2.95,1.9,0.11,0.06,0.17
166,Luka Milivojevic,Crystal Palace,14.0,1230.0,2,0,2.55,1.91,0.15,0.05,0.19
167,Joel Matip,Liverpool,29.0,2453.0,1,0,7.16,6.88,0.11,0.02,0.13
168,Héctor Bellerín,Arsenal,33.0,2496.0,1,4,12.36,7.49,0.08,0.13,0.21
169,Aaron Ramsey,Arsenal,23.0,1212.0,1,4,11.13,5.29,0.26,0.33,0.59
170,Joe Ledley,Crystal Palace,18.0,1169.0,1,0,1.96,1.72,0.01,0.01,0.02
171,Yannick Bolasie,"Crystal Palace, Everton",14.0,1056.0,1,4,6.78,1.36,0.1,0.41,0.51
172,Cheikhou Kouyaté,West Ham,31.0,2738.0,1,0,4.68,4.0,0.03,0.01,0.04
173,Pedro Obiang,West Ham,22.0,1778.0,1,1,5.1,4.39,0.02,0.02,0.04
174,Daley Blind,Manchester United,23.0,1827.0,1,2,7.5,6.48,0.02,0.1,0.12
175,Marcos Rojo,Manchester United,21.0,1658.0,1,0,4.78,4.36,0.06,0.01,0.07
176,Morgan Schneiderlin,"Everton, Manchester United",17.0,1067.0,1,0,5.68,5.12,0.06,0.01,0.07
177,Ander Herrera,Manchester United,31.0,2466.0,1,6,14.33,10.75,0.05,0.15,0.2
178,Jesse Lingard,Manchester United,25.0,1384.0,1,2,10.84,5.96,0.24,0.14,0.39
179,Sebastian Prödl,Watford,33.0,2774.0,1,1,3.04,2.43,0.06,0.03,0.09
180,Miguel Britos,Watford,27.0,2291.0,1,2,2.36,2.03,0.08,0.06,0.14
181,Odion Ighalo,Watford,18.0,1292.0,1,1,4.64,0.9,0.24,0.04,0.29
182,James McCarthy,Everton,12.0,608.0,1,1,2.3,1.61,0.07,0.04,0.11
183,Jordan Henderson,Liverpool,24.0,2122.0,1,4,12.21,10.58,0.03,0.11,0.14
184,Pablo Zabaleta,Manchester City,20.0,1055.0,1,1,6.21,5.19,0.06,0.04,0.1
185,Nicolás Otamendi,Manchester City,30.0,2588.0,1,1,11.6,11.43,0.04,0.04,0.08
186,Gaël Clichy,Manchester City,25.0,2127.0,1,0,13.33,12.41,0.0,0.04,0.04
187,Aleksandar Kolarov,Manchester City,29.0,2532.0,1,1,13.29,12.66,0.04,0.04,0.07
188,Antonio Valencia,Manchester United,28.0,2488.0,1,3,12.04,9.9,0.07,0.1,0.16
189,Chris Smalling,Manchester United,18.0,1212.0,1,1,2.62,2.54,0.03,0.05,0.08
190,Marouane Fellaini,Manchester United,28.0,1591.0,1,0,6.07,4.51,0.12,0.04,0.16
191,Fraizer Campbell,Crystal Palace,12.0,125.0,1,0,0.51,0.13,0.32,0.04,0.35
