,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Pierre-Emerick Aubameyang,Arsenal,36.0,2740.0,22,5,26.58,6.48,0.77,0.16,0.94
1,Sadio Mané,Liverpool,36.0,3100.0,22,1,28.4,8.49,0.49,0.15,0.64
2,Mohamed Salah,Liverpool,38.0,3274.0,22,8,31.78,7.87,0.6,0.29,0.89
3,Sergio Agüero,Manchester City,33.0,2515.0,21,8,28.7,8.1,0.71,0.19,0.9
4,Jamie Vardy,Leicester,34.0,2740.0,18,4,20.78,1.91,0.63,0.17,0.8
5,Raheem Sterling,Manchester City,34.0,2788.0,17,10,33.02,12.63,0.51,0.35,0.86
6,Harry Kane,Tottenham,28.0,2437.0,17,4,18.84,4.84,0.6,0.17,0.76
7,Eden Hazard,Chelsea,37.0,2935.0,16,15,25.33,11.55,0.38,0.35,0.73
8,Callum Wilson,Bournemouth,30.0,2548.0,14,9,21.33,5.06,0.57,0.21,0.78
9,Gylfi Sigurdsson,Everton,38.0,3150.0,13,6,15.67,5.15,0.35,0.19,0.54
10,Glenn Murray,Brighton,38.0,2517.0,13,1,8.43,1.4,0.41,0.04,0.45
11,Paul Pogba,Manchester United,35.0,3013.0,13,9,21.13,11.59,0.47,0.15,0.63
12,Alexandre Lacazette,Arsenal,35.0,2498.0,13,8,22.08,8.81,0.43,0.15,0.58
13,Raúl Jiménez,Wolverhampton Wanderers,38.0,3143.0,13,7,20.92,4.34,0.41,0.2,0.61
14,Richarlison,Everton,35.0,2702.0,13,1,13.4,5.1,0.38,0.07,0.44
15,Son Heung-Min,Tottenham,31.0,2061.0,12,6,16.2,6.03,0.37,0.17,0.54
16,Joshua King,Bournemouth,35.0,2987.0,12,3,19.07,8.41,0.41,0.13,0.54
17,Roberto Firmino,Liverpool,34.0,2631.0,12,6,24.35,9.15,0.47,0.22,0.69
18,Romelu Lukaku,Manchester United,32.0,2113.0,12,0,15.43,5.43,0.56,0.1,0.66
19,Ayoze Pérez,Newcastle United,37.0,2950.0,12,2,15.61,5.63,0.25,0.12,0.38
20,Ashley Barnes,Burnley,37.0,2379.0,12,2,14.35,2.1,0.5,0.14,0.64
21,Luka Milivojevic,Crystal Palace,38.0,3420.0,12,2,9.53,8.3,0.28,0.09,0.37
22,Aleksandar Mitrovic,Fulham,37.0,3285.0,11,3,18.9,5.37,0.42,0.08,0.5
23,Salomón Rondón,Newcastle United,32.0,2616.0,11,7,15.46,4.22,0.37,0.12,0.48
24,Leroy Sané,Manchester City,31.0,1866.0,10,10,21.35,10.56,0.34,0.39,0.73
25,Wilfried Zaha,Crystal Palace,34.0,3046.0,10,5,16.56,7.04,0.19,0.16,0.35
26,Anthony Martial,Manchester United,27.0,1632.0,10,2,11.8,3.6,0.44,0.18,0.62
27,Marcus Rashford,Manchester United,33.0,2360.0,10,6,16.82,5.24,0.44,0.2,0.64
28,Gerard Deulofeu,Watford,30.0,2110.0,10,5,15.97,5.43,0.36,0.21,0.57
29,Marko Arnautovic,West Ham,28.0,2006.0,10,4,12.38,2.85,0.4,0.18,0.58
30,Lucas Moura,Tottenham,32.0,2133.0,10,0,13.82,6.85,0.32,0.07,0.39
31,Chris Wood,Burnley,38.0,2603.0,10,2,11.36,3.55,0.32,0.13,0.44
32,Troy Deeney,Watford,32.0,2552.0,9,5,13.36,2.95,0.36,0.17,0.53
33,Felipe Anderson,West Ham,36.0,3073.0,9,4,14.42,5.72,0.16,0.2,0.36
34,Diogo Jota,Wolverhampton Wanderers,33.0,2402.0,9,5,16.15,4.58,0.33,0.21,0.54
35,Christian Eriksen,Tottenham,35.0,2772.0,8,12,16.65,9.1,0.18,0.26,0.44
36,Pedro,Chelsea,31.0,1777.0,8,2,15.4,8.18,0.3,0.2,0.5
37,Chicharito,West Ham,25.0,1336.0,7,1,7.68,0.75,0.53,0.08,0.62
38,Riyad Mahrez,Manchester City,27.0,1333.0,7,4,14.37,6.83,0.45,0.34,0.78
39,James Ward-Prowse,Southampton,26.0,1940.0,7,0,6.87,4.13,0.16,0.15,0.31
40,Danny Ings,Southampton,24.0,1694.0,7,3,10.71,2.75,0.53,0.18,0.7
41,Andre Gray,Watford,29.0,1343.0,7,2,7.48,0.75,0.39,0.14,0.53
42,Ryan Fraser,Bournemouth,38.0,3185.0,7,14,19.63,7.56,0.13,0.46,0.59
43,Bernardo Silva,Manchester City,36.0,2851.0,7,7,29.93,16.89,0.26,0.27,0.53
44,Gabriel Jesus,Manchester City,29.0,993.0,7,3,16.59,4.99,1.14,0.24,1.38
45,James Maddison,Leicester,36.0,2877.0,7,7,15.3,6.97,0.23,0.25,0.48
46,David Brooks,Bournemouth,30.0,2317.0,7,5,16.89,6.75,0.25,0.23,0.48
47,André Schürrle,Fulham,24.0,1670.0,6,0,5.96,1.68,0.18,0.1,0.28
48,Ilkay Gündogan,Manchester City,31.0,2133.0,6,3,19.07,15.75,0.18,0.21,0.39
49,Henrikh Mkhitaryan,Arsenal,25.0,1647.0,6,4,16.1,8.28,0.29,0.35,0.65
50,Michail Antonio,West Ham,33.0,2084.0,6,4,11.18,3.39,0.26,0.17,0.44
51,David Silva,Manchester City,33.0,2426.0,6,8,30.81,18.85,0.3,0.38,0.68
52,Ruben Loftus-Cheek,Chelsea,24.0,969.0,6,2,8.28,5.79,0.3,0.09,0.39
53,Andros Townsend,Crystal Palace,38.0,3030.0,6,4,11.94,4.85,0.14,0.11,0.25
54,Nathan Redmond,Southampton,38.0,3283.0,6,4,16.49,5.91,0.22,0.15,0.36
55,Xherdan Shaqiri,Liverpool,24.0,1048.0,6,3,7.92,3.42,0.35,0.16,0.51
56,Roberto Pereyra,Watford,33.0,2837.0,6,1,12.57,6.26,0.17,0.11,0.28
57,Dominic Calvert-Lewin,Everton,35.0,1763.0,6,2,8.37,1.37,0.32,0.08,0.4
58,James Milner,Liverpool,31.0,1775.0,5,4,12.49,9.81,0.17,0.29,0.46
59,Mesut Özil,Arsenal,24.0,1751.0,5,2,11.98,8.06,0.11,0.22,0.33
60,Theo Walcott,Everton,37.0,2127.0,5,2,10.27,2.55,0.28,0.12,0.4
61,Mark Noble,West Ham,31.0,2339.0,5,5,7.52,5.9,0.14,0.07,0.2
62,Dele Alli,Tottenham,25.0,1847.0,5,3,12.96,5.54,0.29,0.16,0.45
63,Shane Long,Southampton,26.0,1262.0,5,1,6.83,1.35,0.39,0.11,0.5
64,Gonzalo Higuaín,Chelsea,14.0,1100.0,5,0,8.48,1.86,0.44,0.12,0.56
65,Michy Batshuayi,Crystal Palace,11.0,766.0,5,0,5.17,1.55,0.43,0.01,0.45
66,Abdoulaye Doucouré,Watford,35.0,3062.0,5,6,16.31,6.47,0.2,0.16,0.36
67,Álvaro Morata,Chelsea,16.0,951.0,5,0,7.64,1.7,0.61,0.02,0.63
68,Víctor Camarasa,Cardiff,32.0,2606.0,5,4,7.98,4.11,0.13,0.13,0.26
69,Ryan Babel,Fulham,16.0,1276.0,5,3,10.4,4.04,0.41,0.18,0.59
70,Shane Duffy,Brighton,35.0,3087.0,5,1,3.07,2.71,0.1,0.01,0.11
71,Bobby Reid,Cardiff,27.0,1414.0,5,2,4.87,2.01,0.24,0.07,0.31
72,Fabian Schär,Newcastle United,24.0,2007.0,4,1,5.65,4.66,0.1,0.03,0.13
73,Granit Xhaka,Arsenal,29.0,2511.0,4,2,15.24,12.58,0.07,0.13,0.19
74,Pierre-Emile Højbjerg,Southampton,31.0,2770.0,4,3,10.26,7.34,0.07,0.08,0.15
75,Aaron Ramsey,Arsenal,28.0,1326.0,4,6,8.95,3.68,0.25,0.16,0.41
76,Jesse Lingard,Manchester United,27.0,1677.0,4,2,10.8,5.21,0.26,0.17,0.43
77,Nathan Aké,Bournemouth,38.0,3414.0,4,0,8.87,7.67,0.12,0.03,0.15
78,Erik Lamela,Tottenham,19.0,969.0,4,2,8.19,3.97,0.35,0.2,0.55
79,N'Golo Kanté,Chelsea,36.0,3103.0,4,4,17.04,12.48,0.09,0.11,0.2
80,Jeffrey Schlupp,Crystal Palace,30.0,1650.0,4,1,7.35,3.32,0.18,0.08,0.26
81,Demarai Gray,Leicester,34.0,2009.0,4,1,9.42,4.2,0.2,0.04,0.25
82,Virgil van Dijk,Liverpool,38.0,3388.0,4,2,17.47,16.66,0.09,0.03,0.13
83,Lucas Digne,Everton,35.0,2968.0,4,4,9.52,5.53,0.04,0.23,0.27
84,Sol Bamba,Cardiff,28.0,2476.0,4,1,2.97,1.67,0.15,0.01,0.16
85,Nathaniel Mendez-Laing,Cardiff,20.0,980.0,4,1,2.94,0.43,0.2,0.12,0.32
86,Callum Paterson,Cardiff,27.0,1987.0,4,1,5.48,1.32,0.22,0.13,0.35
87,Willy Boly,Wolverhampton Wanderers,36.0,3168.0,4,0,7.49,5.97,0.1,0.04,0.15
88,Matt Doherty,Wolverhampton Wanderers,38.0,3145.0,4,5,13.51,8.0,0.15,0.14,0.3
89,Rúben Neves,Wolverhampton Wanderers,35.0,3014.0,4,3,10.35,8.18,0.1,0.06,0.16
90,Karlan Grant,Huddersfield,13.0,868.0,4,0,3.67,0.28,0.34,0.03,0.37
91,Pascal Groß,Brighton,25.0,1896.0,3,3,6.61,2.36,0.2,0.27,0.46
92,Divock Origi,Liverpool,12.0,357.0,3,1,1.41,0.7,0.57,0.05,0.61
93,Laurent Koscielny,Arsenal,17.0,1326.0,3,0,3.89,3.85,0.14,0.01,0.15
94,Alex Iwobi,Arsenal,35.0,1974.0,3,6,18.21,9.56,0.17,0.35,0.52
95,Juan Mata,Manchester United,22.0,1306.0,3,2,5.14,2.2,0.11,0.26,0.36
96,José Holebas,Watford,28.0,2395.0,3,6,7.11,5.28,0.04,0.17,0.21
97,Craig Cathcart,Watford,36.0,3104.0,3,0,4.14,4.14,0.05,0.0,0.06
98,Ross Barkley,Chelsea,27.0,1228.0,3,5,10.36,5.42,0.27,0.18,0.45
99,James McArthur,Crystal Palace,38.0,3095.0,3,6,11.98,6.77,0.13,0.11,0.24
100,Eric Dier,Tottenham,20.0,1519.0,3,0,5.31,4.85,0.08,0.07,0.15
101,Willian,Chelsea,32.0,2123.0,3,6,12.74,6.44,0.18,0.28,0.46
102,Patrick van Aanholt,Crystal Palace,36.0,3202.0,3,2,10.49,5.86,0.08,0.13,0.21
103,Wes Morgan,Leicester,22.0,1932.0,3,0,2.38,2.28,0.07,0.01,0.08
104,Georginio Wijnaldum,Liverpool,35.0,2749.0,3,0,14.71,10.55,0.1,0.06,0.17
105,Ciaran Clark,Newcastle United,11.0,850.0,3,0,1.97,1.64,0.05,0.01,0.05
106,Sam Vokes,Burnley,20.0,918.0,3,0,1.62,0.3,0.27,0.09,0.36
107,Johann Berg Gudmundsson,Burnley,29.0,1732.0,3,6,7.22,3.09,0.14,0.19,0.32
108,James Tarkowski,Burnley,35.0,3086.0,3,1,3.37,3.23,0.11,0.01,0.11
109,David Luiz,Chelsea,36.0,3240.0,3,2,13.11,11.98,0.08,0.08,0.16
110,Harry Maguire,Leicester,31.0,2599.0,3,0,6.04,5.48,0.06,0.02,0.09
111,Lucas Pérez,West Ham,15.0,462.0,3,0,3.15,1.13,0.27,0.17,0.44
112,Jeff Hendrick,Burnley,32.0,2089.0,3,0,3.25,1.37,0.08,0.05,0.12
113,Aymeric Laporte,Manchester City,35.0,3059.0,3,3,22.07,21.06,0.11,0.02,0.14
114,Ivan Cavaleiro,Wolverhampton Wanderers,23.0,670.0,3,1,4.37,0.9,0.32,0.21,0.53
115,Florin Andone,Brighton,23.0,861.0,3,0,2.46,0.63,0.36,0.01,0.37
116,Junior Hoilett,Cardiff,32.0,2144.0,3,1,5.07,1.25,0.13,0.06,0.19
117,Aboubakar Kamara,Fulham,13.0,678.0,3,0,4.65,1.96,0.47,0.1,0.57
118,Youri Tielemans,Leicester,13.0,1098.0,3,4,8.31,5.26,0.17,0.21,0.37
