,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Harry Kane,Tottenham,38.0,3382.0,25,1,26.94,8.19,0.6,0.08,0.69
1,Sergio Agüero,Manchester City,30.0,2399.0,24,2,18.79,3.93,0.75,0.08,0.83
2,Jamie Vardy,Leicester,36.0,3154.0,24,6,24.6,2.89,0.63,0.18,0.81
3,Romelu Lukaku,Everton,37.0,3194.0,18,6,24.02,7.63,0.57,0.16,0.73
4,Riyad Mahrez,Leicester,37.0,3087.0,17,11,21.19,7.17,0.35,0.33,0.68
5,Olivier Giroud,Arsenal,38.0,2411.0,16,6,18.89,6.92,0.54,0.22,0.76
6,Odion Ighalo,Watford,37.0,3160.0,15,3,18.0,2.76,0.46,0.06,0.52
7,Jermain Defoe,Sunderland,33.0,2558.0,15,1,12.26,1.33,0.41,0.04,0.45
8,Alexis Sánchez,Arsenal,30.0,2463.0,13,4,27.02,11.86,0.48,0.31,0.79
9,Troy Deeney,Watford,38.0,3291.0,13,7,15.78,3.99,0.33,0.22,0.55
10,André Ayew,Swansea,34.0,2967.0,12,2,12.22,3.83,0.26,0.07,0.33
11,Diego Costa,Chelsea,28.0,2386.0,12,6,18.07,5.29,0.46,0.11,0.56
12,Anthony Martial,Manchester United,31.0,2632.0,11,4,15.58,5.89,0.25,0.21,0.46
13,Gylfi Sigurdsson,Swansea,36.0,2921.0,11,3,10.77,4.88,0.24,0.17,0.4
14,Georginio Wijnaldum,Newcastle United,38.0,3178.0,11,5,14.64,5.73,0.22,0.11,0.33
15,Sadio Mané,Southampton,37.0,2614.0,11,6,17.63,5.37,0.43,0.18,0.61
16,Graziano Pellè,Southampton,30.0,2167.0,11,6,13.01,3.89,0.31,0.17,0.47
17,Marko Arnautovic,Stoke,34.0,2836.0,11,6,18.74,6.82,0.38,0.19,0.58
18,Roberto Firmino,Liverpool,31.0,2005.0,10,7,16.4,6.83,0.32,0.24,0.56
19,Dele Alli,Tottenham,33.0,2490.0,10,9,18.7,6.46,0.3,0.25,0.55
20,Shane Long,Southampton,28.0,2114.0,10,4,13.09,3.42,0.45,0.12,0.57
21,Dimitri Payet,West Ham,30.0,2576.0,9,12,16.93,6.89,0.2,0.41,0.61
22,Andy Carroll,West Ham,27.0,1411.0,9,2,8.77,3.07,0.39,0.18,0.57
23,Christian Benteke,Liverpool,29.0,1496.0,9,3,10.24,1.25,0.6,0.17,0.77
24,Aleksandar Mitrovic,Newcastle United,34.0,2103.0,9,4,10.39,2.87,0.44,0.1,0.54
25,Salomón Rondón,West Bromwich Albion,34.0,2581.0,9,2,9.41,2.56,0.35,0.07,0.41
26,Daniel Sturridge,Liverpool,14.0,981.0,8,1,7.22,1.67,0.53,0.05,0.57
