,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Jamie Vardy,Leicester,35.0,3034.0,23,5,21.03,1.72,0.56,0.19,0.75
1,Pierre-Emerick Aubameyang,Arsenal,36.0,3143.0,22,3,19.96,5.34,0.47,0.13,0.6
2,Danny Ings,Southampton,38.0,2836.0,22,2,18.49,5.02,0.5,0.09,0.59
3,Raheem Sterling,Manchester City,33.0,2678.0,20,1,31.44,10.19,0.67,0.24,0.91
4,Mohamed Salah,Liverpool,34.0,2904.0,19,10,31.37,8.43,0.64,0.27,0.91
5,Harry Kane,Tottenham,29.0,2595.0,18,2,16.85,3.05,0.46,0.11,0.57
6,Sadio Mané,Liverpool,35.0,2761.0,18,7,25.07,6.77,0.48,0.24,0.71
7,Anthony Martial,Manchester United,32.0,2672.0,17,6,20.41,6.36,0.45,0.16,0.6
8,Marcus Rashford,Manchester United,31.0,2673.0,17,7,20.24,5.91,0.66,0.18,0.84
9,Raúl Jiménez,Wolverhampton Wanderers,38.0,3269.0,17,6,22.56,5.71,0.45,0.2,0.65
10,Sergio Agüero,Manchester City,24.0,1462.0,16,3,16.88,2.64,0.96,0.18,1.14
11,Tammy Abraham,Chelsea,34.0,2233.0,15,3,19.84,1.55,0.73,0.12,0.85
12,Kevin De Bruyne,Manchester City,35.0,2818.0,14,20,37.8,19.24,0.26,0.66,0.92
13,Chris Wood,Burnley,32.0,2462.0,14,1,12.64,2.46,0.63,0.05,0.68
14,Gabriel Jesus,Manchester City,34.0,2022.0,14,7,27.65,7.18,0.94,0.16,1.1
15,Dominic Calvert-Lewin,Everton,36.0,2639.0,13,1,17.21,3.9,0.55,0.05,0.59
16,Richarlison,Everton,36.0,3100.0,13,3,16.46,5.2,0.29,0.19,0.48
17,Son Heung-Min,Tottenham,30.0,2511.0,11,10,18.8,6.51,0.35,0.24,0.59
18,Riyad Mahrez,Manchester City,33.0,1938.0,11,9,27.77,13.29,0.4,0.51,0.92
19,Teemu Pukki,Norwich,36.0,2908.0,11,3,14.75,2.37,0.36,0.11,0.47
20,Michail Antonio,West Ham,24.0,1767.0,10,3,13.96,2.27,0.67,0.2,0.87
21,Troy Deeney,Watford,27.0,2253.0,10,2,11.63,3.33,0.46,0.15,0.61
22,Alexandre Lacazette,Arsenal,30.0,1890.0,10,4,12.06,2.51,0.41,0.16,0.57
23,Neal Maupay,Brighton,37.0,2782.0,10,3,13.86,3.48,0.44,0.08,0.52
24,Mason Greenwood,Manchester United,31.0,1304.0,10,1,8.52,4.28,0.23,0.1,0.33
25,Roberto Firmino,Liverpool,38.0,3035.0,9,8,28.27,9.46,0.49,0.22,0.71
26,Jordan Ayew,Crystal Palace,37.0,3196.0,9,2,11.72,3.88,0.22,0.08,0.3
27,Willian,Chelsea,36.0,2609.0,9,7,18.41,10.23,0.28,0.3,0.58
28,Christian Pulisic,Chelsea,25.0,1738.0,9,4,16.75,7.07,0.46,0.22,0.68
29,Callum Wilson,Bournemouth,35.0,2916.0,8,1,12.56,2.71,0.3,0.1,0.41
30,Olivier Giroud,Chelsea,18.0,1015.0,8,0,9.75,2.36,0.66,0.12,0.78
31,Dele Alli,Tottenham,25.0,1862.0,8,4,16.53,6.69,0.38,0.17,0.55
32,Jack Grealish,Aston Villa,36.0,3235.0,8,6,18.37,9.3,0.19,0.21,0.4
33,Ayoze Pérez,Leicester,33.0,2045.0,8,4,12.85,4.47,0.29,0.18,0.47
34,Jay Rodriguez,Burnley,36.0,1987.0,8,1,7.04,1.26,0.41,0.03,0.44
35,Bruno Fernandes,Manchester United,14.0,1211.0,8,7,8.51,4.86,0.44,0.2,0.65
36,Harry Wilson,Bournemouth,31.0,1672.0,7,0,7.92,4.21,0.22,0.12,0.34
37,Sébastien Haller,West Ham,32.0,2248.0,7,1,11.1,2.64,0.34,0.09,0.43
38,Diogo Jota,Wolverhampton Wanderers,34.0,2329.0,7,1,16.15,4.1,0.46,0.1,0.57
39,Mason Mount,Chelsea,37.0,2894.0,7,5,16.88,8.52,0.23,0.16,0.4
40,Joshua King,Bournemouth,26.0,2033.0,6,4,8.37,3.02,0.29,0.18,0.47
41,Jonjo Shelvey,Newcastle United,26.0,2136.0,6,2,7.49,4.89,0.09,0.17,0.27
42,Oliver McBurnie,Sheffield United,36.0,2123.0,6,0,10.19,3.95,0.34,0.05,0.39
43,Lys Mousset,Sheffield United,30.0,1220.0,6,4,9.62,2.46,0.45,0.27,0.71
44,Bernardo Silva,Manchester City,34.0,2020.0,6,7,23.84,14.73,0.33,0.28,0.61
45,Ashley Barnes,Burnley,19.0,1386.0,6,0,5.06,1.57,0.42,0.02,0.44
46,Harvey Barnes,Leicester,36.0,2094.0,6,8,17.09,6.49,0.36,0.18,0.54
47,James Maddison,Leicester,31.0,2632.0,6,3,14.38,8.76,0.17,0.2,0.37
48,Todd Cantwell,Norwich,37.0,2528.0,6,2,11.01,3.81,0.2,0.08,0.28
49,Trézéguet,Aston Villa,34.0,1955.0,6,1,6.64,2.61,0.25,0.04,0.29
50,David Silva,Manchester City,27.0,1846.0,5,10,24.69,12.76,0.34,0.37,0.71
51,Kelechi Iheanacho,Leicester,20.0,976.0,5,3,8.98,1.33,0.54,0.24,0.78
52,Virgil van Dijk,Liverpool,38.0,3420.0,5,1,15.31,14.67,0.08,0.03,0.11
53,James Ward-Prowse,Southampton,38.0,3420.0,5,3,13.29,9.15,0.19,0.15,0.34
54,Robert Snodgrass,West Ham,24.0,1522.0,5,5,6.51,3.52,0.14,0.22,0.36
55,Nicolas Pepe,Arsenal,31.0,2021.0,5,5,10.92,4.81,0.23,0.22,0.44
56,Ismaila Sarr,Watford,28.0,2038.0,5,4,11.65,3.37,0.26,0.19,0.46
57,Phil Foden,Manchester City,23.0,888.0,5,2,9.37,5.85,0.36,0.16,0.52
58,Andriy Yarmolenko,West Ham,23.0,979.0,5,1,6.92,1.96,0.24,0.31,0.56
59,Stuart Armstrong,Southampton,30.0,1711.0,5,3,7.97,3.85,0.16,0.11,0.27
60,Leandro Trossard,Brighton,31.0,2018.0,5,3,12.01,4.78,0.24,0.21,0.45
