,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Sergio Agüero,Manchester City,33.0,2551.0,26,8,27.81,6.88,0.89,0.2,1.09
1,Harry Kane,Tottenham,34.0,2589.0,21,4,16.49,5.55,0.6,0.14,0.73
2,Diego Costa,Chelsea,26.0,2111.0,20,3,21.37,5.28,0.65,0.19,0.84
3,Charlie Austin,Queens Park Rangers,35.0,3078.0,18,5,13.72,3.04,0.52,0.07,0.6
4,Alexis Sánchez,Arsenal,35.0,2967.0,16,8,27.16,10.74,0.41,0.26,0.67
5,Olivier Giroud,Arsenal,27.0,1871.0,14,3,13.64,4.13,0.43,0.19,0.61
6,Eden Hazard,Chelsea,38.0,3389.0,14,9,31.84,19.48,0.32,0.3,0.62
7,Saido Berahino,West Bromwich Albion,38.0,2940.0,14,1,11.91,2.44,0.42,0.06,0.48
8,Christian Benteke,Aston Villa,29.0,2380.0,13,2,8.73,2.2,0.32,0.11,0.43
9,David Silva,Manchester City,32.0,2682.0,12,7,29.14,16.63,0.31,0.35,0.65
10,Wayne Rooney,Manchester United,33.0,2887.0,12,5,15.44,7.3,0.28,0.12,0.4
11,Graziano Pellè,Southampton,38.0,3291.0,12,2,24.79,5.6,0.51,0.12,0.63
12,Wilfried Bony,"Manchester City, Swansea",30.0,1604.0,11,3,14.25,4.41,0.59,0.2,0.78
13,Nacer Chadli,Tottenham,35.0,2423.0,11,5,15.64,8.63,0.26,0.15,0.4
14,Leonardo Ulloa,Leicester,37.0,2434.0,11,3,9.96,2.51,0.33,0.14,0.47
15,Papiss Demba Cissé,Newcastle United,22.0,1137.0,11,1,7.44,0.62,0.71,0.03,0.74
16,Mame Biram Diouf,Stoke,34.0,2451.0,11,3,13.6,0.86,0.43,0.13,0.55
17,Danny Ings,Burnley,35.0,3048.0,11,4,16.56,2.83,0.36,0.13,0.49
18,Romelu Lukaku,Everton,36.0,2880.0,10,5,15.74,5.08,0.39,0.07,0.46
19,Christian Eriksen,Tottenham,38.0,3160.0,10,2,21.32,13.02,0.21,0.17,0.38
20,Diafra Sakho,West Ham,23.0,1765.0,10,2,9.08,0.91,0.46,0.13,0.6
21,Sadio Mané,Southampton,30.0,2142.0,10,3,14.57,4.03,0.36,0.17,0.53
22,Yaya Touré,Manchester City,29.0,2358.0,10,1,26.02,20.9,0.27,0.12,0.4
23,Robin van Persie,Manchester United,27.0,2126.0,10,2,12.92,1.69,0.49,0.13,0.62
24,Juan Mata,Manchester United,33.0,2318.0,9,4,14.52,7.05,0.26,0.19,0.45
