,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Harry Kane,Tottenham,35.0,3097.0,23,14,25.0,4.45,0.64,0.22,0.86
1,Mohamed Salah,Liverpool,37.0,3085.0,22,5,28.97,9.8,0.59,0.19,0.78
2,Bruno Fernandes,Manchester United,37.0,3117.0,18,12,26.91,11.93,0.46,0.33,0.79
3,Son Heung-Min,Tottenham,37.0,3139.0,17,10,20.67,6.61,0.32,0.27,0.59
4,Patrick Bamford,Leeds,38.0,3085.0,17,7,23.39,4.13,0.54,0.11,0.65
5,Dominic Calvert-Lewin,Everton,33.0,2878.0,16,0,19.88,4.27,0.57,0.07,0.64
6,Jamie Vardy,Leicester,34.0,2848.0,15,9,18.23,2.41,0.63,0.16,0.79
7,Ollie Watkins,Aston Villa,37.0,3330.0,14,5,22.01,5.33,0.44,0.14,0.58
8,Ilkay Gündogan,Manchester City,28.0,2033.0,13,2,19.29,10.15,0.42,0.17,0.59
9,Alexandre Lacazette,Arsenal,31.0,1939.0,13,2,14.36,2.94,0.56,0.1,0.66
10,Callum Wilson,Newcastle United,26.0,2079.0,12,5,14.21,1.05,0.59,0.13,0.72
11,Kelechi Iheanacho,Leicester,25.0,1452.0,12,2,13.96,3.43,0.56,0.22,0.78
12,Danny Ings,Southampton,29.0,2200.0,12,4,10.48,2.48,0.34,0.09,0.43
13,Chris Wood,Burnley,33.0,2765.0,12,3,13.59,2.15,0.42,0.07,0.49
14,Wilfried Zaha,Crystal Palace,30.0,2615.0,11,2,13.58,3.63,0.3,0.13,0.43
15,Marcus Rashford,Manchester United,37.0,2941.0,11,9,20.44,8.93,0.29,0.13,0.42
16,Sadio Mané,Liverpool,35.0,2805.0,11,7,25.0,6.06,0.48,0.25,0.73
17,Gareth Bale,Tottenham,20.0,909.0,11,2,8.15,2.59,0.57,0.18,0.76
18,Matheus Pereira,West Bromwich Albion,33.0,2594.0,11,6,10.86,3.76,0.24,0.22,0.46
19,Pierre-Emerick Aubameyang,Arsenal,29.0,2333.0,10,3,15.11,3.96,0.4,0.09,0.5
20,Michail Antonio,West Ham,26.0,1993.0,10,5,19.27,2.77,0.64,0.14,0.78
21,Christian Benteke,Crystal Palace,30.0,1824.0,10,1,8.47,3.15,0.37,0.03,0.4
22,Raheem Sterling,Manchester City,31.0,2539.0,10,7,25.88,12.17,0.43,0.23,0.66
23,Edinson Cavani,Manchester United,26.0,1355.0,10,3,12.26,2.73,0.57,0.15,0.73
24,Anwar El Ghazi,Aston Villa,28.0,1612.0,10,0,7.85,2.69,0.5,0.11,0.61
25,Nicolas Pepe,Arsenal,29.0,1602.0,10,1,9.36,4.22,0.34,0.06,0.39
26,Tomas Soucek,West Ham,38.0,3420.0,10,1,17.0,8.72,0.24,0.06,0.3
27,Roberto Firmino,Liverpool,36.0,2882.0,9,7,25.27,10.2,0.4,0.19,0.59
28,Jesse Lingard,West Ham,16.0,1434.0,9,4,10.1,5.69,0.33,0.15,0.48
29,Riyad Mahrez,Manchester City,27.0,1961.0,9,6,18.85,9.17,0.29,0.28,0.57
30,Gabriel Jesus,Manchester City,29.0,2053.0,9,4,17.88,6.23,0.42,0.16,0.58
31,Phil Foden,Manchester City,28.0,1606.0,9,5,13.84,5.49,0.34,0.27,0.61
32,Harvey Barnes,Leicester,25.0,1954.0,9,4,8.89,1.59,0.31,0.08,0.39
33,Diogo Jota,Liverpool,19.0,1114.0,9,0,10.97,4.08,0.57,0.14,0.71
34,Che Adams,Southampton,36.0,2685.0,9,5,14.49,2.74,0.41,0.18,0.58
35,James Ward-Prowse,Southampton,38.0,3420.0,8,7,10.64,9.4,0.14,0.11,0.25
36,Jarrod Bowen,West Ham,38.0,2599.0,8,5,14.17,3.1,0.28,0.18,0.46
37,Neal Maupay,Brighton,33.0,2526.0,8,2,17.16,3.38,0.49,0.15,0.64
38,Joe Willock,"Arsenal, Newcastle United",21.0,1215.0,8,0,7.01,2.99,0.38,0.05,0.43
39,James Maddison,Leicester,31.0,2123.0,8,5,11.74,6.07,0.16,0.23,0.39
40,David McGoldrick,Sheffield United,35.0,2409.0,8,1,9.95,3.25,0.28,0.04,0.33
41,Stuart Dallas,Leeds,38.0,3412.0,8,2,18.53,13.81,0.12,0.05,0.17
42,Jack Harrison,Leeds,36.0,2871.0,8,8,19.4,8.04,0.2,0.24,0.43
43,Bertrand Traoré,Aston Villa,36.0,2362.0,7,6,9.84,1.33,0.24,0.17,0.41
44,Jorginho,Chelsea,28.0,2022.0,7,1,11.38,10.88,0.31,0.09,0.4
45,Rodrigo,Leeds,26.0,1285.0,7,2,10.82,4.35,0.4,0.22,0.63
46,Richarlison,Everton,34.0,2883.0,7,3,15.86,5.17,0.33,0.11,0.44
47,Ferrán Torres,Manchester City,24.0,1305.0,7,2,10.0,2.96,0.4,0.15,0.55
48,Mason Greenwood,Manchester United,31.0,1825.0,7,2,14.03,5.95,0.34,0.12,0.46
49,Timo Werner,Chelsea,35.0,2605.0,6,8,20.53,5.24,0.46,0.23,0.69
50,Kevin De Bruyne,Manchester City,25.0,2008.0,6,12,22.52,11.3,0.45,0.49,0.94
51,Danny Welbeck,Brighton,24.0,1551.0,6,1,10.27,1.48,0.43,0.19,0.62
