,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
44,Luke Shaw Man Utd,26, D(CL), D(CL),30(2),2657,1.4,0.6,1.3,0.1,1.2,0.5,0.3,1,7.03
45,Patrick Bamford Leeds,28, AM(CLR), AM(CLR),37(1),3066,0.6,0.3,0.9,0,1.0,0.5,0.1,0,7.03
46,James Tarkowski Burnley,29, D(C),,36,3240,1.8,1.2,0.8,0.6,4.4,0.7,1.2,0,7.02
47,Antonio Rüdiger Chelsea,28, D(CR),,19,1710,1.6,0.9,0.8,0.5,2.7,0.2,0.5,1,7.02
48,Trent Alexander-Arnold Liverpool,23, D(R), D(R),34(2),3033,1.6,1.4,0.6,0.4,1.2,0.6,0.1,0,7.02
49,Wesley Fofana Leicester,21, D(C),,27(1),2265,1.8,2.2,1.3,0.5,3.3,0.5,0.6,0,7.01
50,Declan Rice West Ham,22, D(C), D(C),32,2880,1.8,1.8,0.7,0,1.1,0.9,0.3,0,7.01
51,Kalvin Phillips Leeds,26, D(C), D(C),28(1),2431,2.6,1.6,1.6,0.1,1.7,1.2,0.5,0,7.01
52,James Maddison Leicester,25, AM(CLR),,24(7),2105,1.0,0.3,0.6,0,0.1,0.9,0,0,7.0
53,Ben Chilwell Chelsea,24, D(L), D(L),27,2290,1.6,0.9,0.9,0.1,1.7,0.7,0.1,0,7.0
54,Emiliano Martínez Aston Villa,29, GK,,38,3420,0.1,0.1,0,0,0.4,0,0,0,7.0
55,André-Frank Zambo Anguissa Fulham,26, DMC,,29(7),2587,2.2,1.6,1.2,0,0.4,1.1,0.2,0,6.99
56,Yves Bissouma Brighton,25, M(C),,35(1),3114,2.9,1.8,1.5,0,1.8,0.9,0.2,0,6.98
57,Richarlison Everton,24, AM(CLR), AM(CLR),33(1),2872,1.4,0.4,1,0,1.0,1,0.1,0,6.98
58,Harvey Barnes Leicester,24, AM(CL),,22(3),1950,0.8,0.3,0.6,0,0.4,0.7,0.1,0,6.98
59,Jack Harrison Leeds,25, AM(CLR), AM(CLR),34(2),2858,1.8,0.4,0.8,0,0.5,0.9,0.1,0,6.96
60,Matheus Pereira West Brom,25, AM(CLR),,30(3),2582,0.8,0.9,1.0,0,0.4,1.3,0,0,6.96
61,Vladimir Coufal West Ham,29, D(R), D(R),34,3055,2.1,1.2,0.9,0.3,2.6,1.1,0.2,0,6.95
62,Pierre-Emile Højbjerg Tottenham,26, M(C),,38,3420,2.6,1.3,1.8,0,1.7,2.0,0.2,0,6.95
63,Luke Ayling Leeds,30, D(CR), D(CR),38,3400,2.8,0.9,0.8,0.4,2.0,1.0,0.9,0,6.94
64,Reece James Chelsea,22, D(CR), D(CR),25(7),2367,1.7,0.5,1.0,0.1,1.3,0.7,0.2,0,6.94
65,Oriol Romeu Southampton,30, DMC,,20(1),1768,3.3,1.4,1.4,0,0.7,2.0,0.3,0,6.93
66,Matthew Cash Aston Villa,24, D(R), D(R),28,2380,2.5,2.1,1.3,0.1,2.9,1.2,0.4,0,6.93
