,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
223,Rayan Aït-Nouri Wolves,20, D(L), D(L),16(5),1406,1,0.7,29.9,86.1,0.6,0.8,0,6.56
224,Bernd Leno Arsenal,29, GK,,35,3132,0,0,28.5,76.8,0,3.2,0,6.56
225,Luka Milivojevic Crystal Palace,30, DMC,,27(4),2365,1,0.7,41.7,83.0,0.5,2.4,0,6.55
226,Aaron Ramsdale Sheff Utd,23, GK,,38,3420,0,0.1,26.8,43.4,0,7.4,0,6.55
227,Nathan Redmond Southampton,27, AM(CLR), AM(CLR),17(12),1731,3,1,24.0,76.8,0.1,0.7,0,6.55
228,Joel Ward Crystal Palace,32, D(LR), D(LR),25(1),2255,1,0.3,31.5,71.9,0.1,1.3,0,6.55
229,Kasper Schmeichel Leicester,35, GK,,38,3420,0,0,28.1,70.4,0,6.4,0,6.55
230,Ivan Cavaleiro Fulham,28, AM(CLR), AM(CLR),27(9),2476,0,1.2,20.1,76.2,0.8,0.7,0,6.54
231,Alex Iwobi Everton,25, M(CLR),,17(13),1543,2,0.5,19.8,83.0,0.3,0.8,0,6.54
232,Conor Coady Wolves,28, D(CR), D(CR),37,3304,0,0.1,50.2,88.0,0,6.7,0,6.53
233,Bobby De Cordova-Reid Fulham,28, M(CLR), M(CLR),28(5),2383,2,0.4,23.0,77.5,0.2,0.8,0,6.52
234,Jordan Ayew Crystal Palace,30, AM(CLR), AM(CLR),23(10),2098,3,0.4,19.2,81.0,0.1,0.3,0,6.52
235,Mateusz Klich Leeds,31, M(C),,28(7),2399,5,1.3,41.9,82.3,0.3,1.5,0,6.51
236,John Fleck Sheff Utd,30, DMC,,29(2),2577,2,1.1,36.7,82.9,0.7,1.3,0,6.51
237,Robbie Brady Burnley,29, D(L), D(L),12(7),1055,1,0.4,18.5,69.2,0.4,1.3,0,6.51
238,Dara O'Shea West Brom,22, D(CR),,25(3),2102,0,0.2,28.9,63.6,0,3.2,0,6.51
239,David Luiz Arsenal,34, D(C), D(C),17(3),1400,0,0.1,50.0,83.5,0,3.6,0.1,6.51
240,Ruben Loftus-Cheek Fulham,25, M(CLR),,21(9),1913,0,0.6,23.6,80.7,0.1,0.3,0,6.5
241,Aleksandar Mitrovic Fulham,27, FW,,13(14),1390,3,0.9,14.0,73.5,0.1,0.3,0.1,6.5
242,Rui Patrício Wolves,33, GK,,37,3330,0,0,17.9,62.5,0,4.7,0,6.5
243,Alex McCarthy Southampton,32, GK,,30,2700,0,0,31.3,61.0,0,4.8,0,6.49
244,Steven Bergwijn Tottenham,24, AM(CLR), AM(CLR),13(8),1214,3,0.6,19.8,83.7,0,0.1,0,6.49
245,Jóhann Gudmundsson Burnley,31, AM(CLR),,16(6),1369,0,0.4,19.9,79.6,0.2,1.0,0,6.49
246,Oliver Norwood Sheff Utd,30, M(C),,26(6),2226,0,1,43.9,83.4,1,3.5,0,6.48
247,James Milner Liverpool,35, D(LR), D(LR),11(15),1062,1,0.5,33.0,85.6,0.4,1.1,0,6.48
248,David de Gea Man Utd,31, GK,,26,2296,0,0,19.3,75.4,0,3.2,0,6.47
249,Patrick van Aanholt Crystal Palace,31, D(L), D(L),20(2),1776,1,0.5,43.3,80.1,0.4,1.4,0,6.47
250,Ashley Barnes Burnley,32, AM(CL), AM(CL),15(7),1337,0,0.9,13.8,61.8,0,0.3,0,6.47
251,Tom Davies Everton,23, M(C),,17(8),1426,1,0.2,27.9,81.2,0.1,1.4,0,6.46
252,André Gomes Everton,28, M(CLR),,17(11),1568,1,0.5,31.3,85.3,0.1,2.0,0,6.46
253,Vicente Guaita Crystal Palace,34, GK,,37,3330,0,0,24.9,49.6,0,6.8,0,6.46
254,Adam Lallana Brighton,33, AM(CLR),,16(14),1592,1,0.8,30.8,85.0,0.1,0.6,0,6.45
255,Moussa Sissoko Tottenham,32, M(CR),,15(10),1577,0,0.2,30.4,84.4,0,1.2,0,6.44
256,Alexis Mac Allister Brighton,22, M(CL),,13(8),1117,1,0.7,18.9,80.8,0,0.8,0,6.44
257,Erik Pieters Burnley,33, D(L), D(L),13(7),1262,1,0.3,23.6,74.4,0,1.4,0,6.44
258,Tyler Roberts Leeds,22, AM(C), AM(C),14(13),1341,2,0.6,17.1,71.6,0.1,0.5,0.1,6.43
259,Mohamed Elneny Arsenal,29, DMC,,17(6),1542,0,0.2,44.0,93.0,0,1.6,0,6.43
260,Ryan Bertrand Southampton,32, D(CL), D(CL),29,2599,1,0.5,41.3,79.6,0.5,0.8,0,6.41
261,Grady Diangana West Brom,23, AM(CLR),,15(5),1239,0,0.3,16.8,76.2,0.1,0.3,0,6.41
262,Callum Robinson West Brom,26, AM(CLR), AM(CLR),20(8),1567,0,0.6,13.9,74.9,0.2,0.4,0,6.41
263,Ben Osborn Sheff Utd,27, D(L), D(L),17(7),1606,0,0.7,31.0,81.0,0.7,0.8,0,6.4
264,Semi Ajayi West Brom,28, D(C), D(C),31(2),2780,0,0.2,28.4,73.2,0,1.8,0,6.4
265,Enda Stevens Sheff Utd,31, D(CL), D(CL),30,2700,1,0.6,39.5,78.1,0.4,1.9,0,6.39
266,Moussa Djenepo Southampton,23, AM(LR),,15(12),1240,0,0.2,14.1,72.8,0,0.3,0,6.37
267,Nampalys Mendy Leicester,29, M(C),,15(8),1458,1,0.2,42.3,91.0,0,1.1,0,6.36
268,Matej Vydra Burnley,29, AM(CL), AM(CL),15(13),1368,2,0.5,8.4,71.2,0,0.1,0,6.36
269,Sean Longstaff Newcastle,24, DMC,,15(7),1406,1,0.5,25.4,81.5,0.3,2.3,0,6.36
270,Erik Lamela Tottenham,29, AM(CLR),,5(18),708,0,0.4,14.7,83.1,0.1,0.3,0,6.36
271,George Baldock Sheff Utd,28, D(CR), D(CR),32,2789,2,0.6,28.0,78.3,0.3,0.7,0,6.35
272,Donny van de Beek Man Utd,24, M(C),,4(15),515,1,0.2,14.4,86.1,0,0.3,0,6.35
273,Matt Phillips West Brom,30, M(CLR), M(CLR),20(13),1829,1,0.8,14.5,74.3,0.6,0.4,0,6.34
274,Jairo Riedewald Crystal Palace,25, D(CL), D(CL),19(14),1819,0,0.4,19.1,85.6,0,0.5,0,6.34
275,Jamal Lewis Newcastle,23, D(L), D(L),20(4),1833,1,0.6,27.1,77.1,0.5,1.3,0,6.34
276,Jeff Hendrick Newcastle,29, M(CR),,17(5),1423,1,0.3,24.5,80.1,0.1,1.3,0,6.33
277,Hélder Costa Leeds,27, AM(CLR),,13(9),1158,3,0.4,13.8,76.6,0.1,0.1,0,6.32
278,Fábio Silva Wolves,19, FW,,11(21),1357,3,0.3,10.1,72.8,0,0,0,6.3
279,Jay Rodriguez Burnley,32, AM(CLR), AM(CLR),12(19),1256,2,0.2,8.8,73.4,0,0.1,0,6.27
280,Alireza Jahanbakhsh Brighton,28, AM(CLR),,6(15),525,1,0.5,11.0,77.6,0.2,0.3,0.1,6.26
281,Oliver Burke Sheff Utd,24, AM(LR), AM(LR),14(11),1273,1,0.6,10.1,70.2,0,0.1,0,6.25
282,Vitinha Wolves,21, AM(C),,5(14),513,1,0.6,17.4,90.3,0.2,0.5,0.1,6.23
283,John Lundstram Sheff Utd,27, DMC,,23(5),2032,2,0.7,35.7,84.2,0.4,1.8,0,6.23
284,Ibrahima Diallo Southampton,22, DMC,,10(12),1012,0,0.4,26.7,85.0,0,0.7,0,6.22
285,Jacob Ramsey Aston Villa,20, AM(C),,6(16),619,0,0.3,10.0,86.0,0.1,0.5,0,6.2
286,Mark Noble West Ham,34, M(C),,8(13),707,0,0.2,20.5,88.6,0.1,1.3,0,6.17
287,Rhian Brewster Sheff Utd,21, FW,,12(15),1125,0,0.4,7.7,74.4,0.1,0.3,0.1,6.17
288,Karlan Grant West Brom,24, AM(CL), AM(CL),14(7),1133,0,0.1,10.3,75.1,0,0.1,0,6.15
289,Hal Robson-Kanu West Brom,32, AM(LR), AM(LR),2(17),549,0,0.3,4.2,70.9,0,0.1,0,6.13
290,Romaine Sawyers West Brom,30, M(CL),,17(2),1490,0,0.3,37.9,85.3,0.1,2.2,0.1,6.12
