,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
225,Stephen Ward,Burnley,28.0,2463.0,1,1,3.49,2.88,0.01,0.06,0.07
226,Steven Defour,Burnley,24.0,2034.0,1,1,2.49,1.67,0.03,0.05,0.08
227,David Luiz,Chelsea,10.0,840.0,1,0,2.88,2.43,0.08,0.0,0.09
228,Dominic Solanke,Liverpool,21.0,552.0,1,1,7.04,1.89,0.6,0.41,1.01
229,Islam Slimani,"Leicester, Newcastle United",16.0,353.0,1,1,1.99,0.67,0.34,0.13,0.46
230,Andrew Robertson,Liverpool,22.0,1949.0,1,5,11.84,9.57,0.03,0.22,0.25
231,Mike van der Hoorn,Swansea,24.0,1963.0,1,0,2.0,1.39,0.04,0.03,0.07
232,Fernando Llorente,Tottenham,16.0,206.0,1,0,1.82,0.97,0.51,0.06,0.57
233,Eric Bailly,Manchester United,13.0,998.0,1,0,1.15,1.15,0.09,0.02,0.11
234,Kevin Long,Burnley,16.0,1440.0,1,2,0.62,0.61,0.11,0.11,0.22
235,Stefano Okaka,Watford,15.0,437.0,1,1,1.86,0.44,0.38,0.08,0.46
236,Trent Alexander-Arnold,Liverpool,19.0,1582.0,1,1,9.21,7.06,0.05,0.14,0.2
237,Jesé,Stoke,13.0,619.0,1,1,1.33,0.17,0.13,0.08,0.21
238,Kiko Femenía,Watford,23.0,1722.0,1,1,4.02,2.93,0.02,0.08,0.1
239,Mikel Merino,Newcastle United,24.0,1336.0,1,1,3.66,3.24,0.03,0.05,0.08
240,Luciano Narsingh,Swansea,18.0,607.0,1,0,2.36,1.06,0.17,0.14,0.31
241,Jan Bednarek,Southampton,5.0,429.0,1,0,0.13,0.13,0.06,0.0,0.06
242,Lewis Dunk,Brighton,38.0,3420.0,1,1,3.49,3.03,0.08,0.04,0.12
243,Solly March,Brighton,36.0,1817.0,1,1,3.19,1.21,0.06,0.09,0.15
244,Isaac Hayden,Newcastle United,26.0,1370.0,1,0,3.27,2.18,0.06,0.04,0.1
245,Jacob Murphy,Newcastle United,25.0,1147.0,1,1,4.08,1.08,0.13,0.11,0.24
246,Joe Lolley,Huddersfield,6.0,213.0,1,0,0.31,0.13,0.04,0.05,0.09
247,André Carrillo,Watford,28.0,1533.0,1,2,6.91,3.1,0.12,0.17,0.29
248,Jürgen Locadia,Brighton,6.0,225.0,1,1,1.22,0.05,0.46,0.04,0.5
249,Loris Karius,Liverpool,19.0,1710.0,0,0,4.03,4.03,0.0,0.0,0.0
250,Andreas Christensen,Chelsea,27.0,2080.0,0,0,5.88,5.86,0.04,0.01,0.05
251,Pierre-Emile Højbjerg,Southampton,23.0,1669.0,0,0,4.02,3.11,0.04,0.03,0.07
252,Konstantinos Stafylidis,Stoke,5.0,338.0,0,0,0.18,0.09,0.02,0.01,0.02
253,Markus Suttner,Brighton,14.0,1176.0,0,0,1.66,1.62,0.01,0.02,0.03
254,Simon Francis,Bournemouth,32.0,2706.0,0,1,5.5,4.48,0.01,0.05,0.07
255,Marc Pugh,Bournemouth,20.0,981.0,0,0,2.83,1.05,0.12,0.05,0.17
256,Divock Origi,Liverpool,1.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0
257,Adam Lallana,Liverpool,12.0,223.0,0,0,2.18,0.49,0.62,0.16,0.79
